source,title,description,url,published_at,content
Wired,The Beginning of the End of Big Tech,"From politicians to VC firms, everyone is falling out of love with the massive, money-oriented, global technology titans. In their place, we have the chance to build something open and trustworthy.",https://www.wired.com/story/the-beginning-of-the-end-of-big-tech/,2024-11-26T12:05:00Z,"Next year will be Big Techs finale. Critique of Big Tech is now common sense, voiced by a motley spectrum that unites opposing political parties, mainstream pundits, and even tech titans such as the … [+2281 chars]"
[Removed],[Removed],[Removed],https://removed.com,2024-11-25T14:00:17Z,[Removed]
Wired,Amazon Is Building a Mega AI Supercomputer With Anthropic,"At its Re:Invent conference, Amazon also announced new tools to help customers build generative AI programs, including one that checks whether a chatbot’s outputs are accurate or not.",https://www.wired.com/story/amazon-reinvent-anthropic-supercomputer/,2024-12-03T18:13:31Z,"Garman told WIRED ahead of the event that Amazon will also introduce a range of tools to help customers wrangle generative AI models that he says are often too expensive, unreliable, and unpredictabl… [+2405 chars]"
[Removed],[Removed],[Removed],https://removed.com,2024-12-04T12:00:22Z,[Removed]
The Verge,"Microsoft is the mystery AI company licensing HarperCollins books, says Bloomberg","Microsoft will train a new AI model on licensed nonfiction titles from HarperCollins, according to a report from Bloomberg.",https://www.theverge.com/2024/11/19/24300893/microsoft-ai-training-deal-harpercollins-report,2024-11-19T21:37:10Z,"Microsoft is the mystery AI company licensing HarperCollins books, says Bloomberg
Microsoft is the mystery AI company licensing HarperCollins books, says Bloomberg
 / The deal will reportedly allow… [+1536 chars]"
Yahoo Entertainment,Meta wants its Llama AI in Britain’s public healthcare system,"Meta is making a pitch to get its AI into the UK’s public health system. The Guardian reported on Tuesday that the company held a hackathon in Europe, tasking over 200 developers to use its Llama AI to improve the country’s health services. The company awarde…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b19bd6f4-2654-465b-abec-7e69582cd26b,2024-11-19T17:41:19Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
Gizmodo.com,OpenAI Continues Its Mission of ‘Ethical’ AI by Partnering With a Killer Robot Company,"It's a weird look for a company that has claimed that it wants to make AI ""safe for everyone.""",https://gizmodo.com/openai-continues-its-mission-of-ethical-ai-by-partnering-with-a-killer-robot-company-2000534515,2024-12-05T13:35:26Z,"OpenAI has claimed that it’s “leading the way” when it comes to the safe, ethical deployment of artificial intelligence. Weirdly, it has also decided to partner with a company that is actively workin… [+2595 chars]"
Gizmodo.com,Landlords Are Using AI to Raise Rents—and Cities Are Starting to Push Back,AI is a plaque upon housing in America.,https://gizmodo.com/landlords-are-using-ai-to-raise-rents-and-cities-are-starting-to-push-back-2000535519,2024-12-07T16:00:12Z,"If youve hunted for apartments recently and felt like all the rents were equally high, youre not crazy: Many landlords now use a single companys software which uses an algorithm based on proprietary … [+10029 chars]"
The Verge,Why investors don’t mind that AI is a money pit,"AI is costing a fortune to build, and it’s not yet paying off. Here’s why investors aren’t concerned.",https://www.theverge.com/2024/12/5/24313373/ai-spending-enterprise-profits-investment-menlo-ventures-openai-anthropic-decoder-podcast,2024-12-05T15:00:00Z,"AI investment is massive even though AI profits are not. How are investors justifying this pricey gamble on the future?
ByAlex Heath, a deputy editor and author of the Command Line newsletter. He ha… [+3313 chars]"
The Verge,Meta turns to nuclear energy for its AI ambitions,Meta says it wants to bring more nuclear energy to electricity grids to power its data centers.,https://www.theverge.com/2024/12/4/24313011/meta-ai-data-center-nuclear-energy,2024-12-04T16:54:51Z,"Meta turns to nuclear energy for its AI ambitions
Meta turns to nuclear energy for its AI ambitions
 / Its the latest tech company to jump on the nuclear energy bandwagon.
Meta is turning to nucle… [+3492 chars]"
