source,title,description,url,published_at,content
Google News,"Elon Musk reveals SEC 'settlement demand,' mocks agency's outgoing chair: 'Oh, Gary' - New York Post ",,https://news.google.com/rss/articles/CBMinwFBVV95cUxOMnZ4SDFuQW9ER2x0TF9tWEh0NXFJek43dXhMbkhDOFNVdU1lMXFRN3dwTFhnWnJBeVZSSjVpZ08xWmpoeFN1N0VvYUx2bWNWeG5QWnBPbllNemFpLXRsRnNhbG43OU94UkRXWllrYU4wNkNoSmhfWFBHSGYyYWkzdDhUUUJUUmdNVHhnLTVaaWFDazdEQVVKMnN0cUFXZlk?oc=5,2024-12-13T17:40:00Z,
Yahoo Entertainment,The best White Elephant gifts everyone will want to steal at the Christmas party — all under $50 - Yahoo Life,"From an adorable duck lamp to a desktop vacuum cleaner, these crowdpleasers strike a balance between silly gags and functional finds.",https://www.yahoo.com/lifestyle/the-best-white-elephant-gifts-everyone-will-want-to-steal-at-the-christmas-party--all-under-50-221451340.html,2024-12-13T17:05:11Z,"Believe it or not, there's a trick to getting the white elephant gift selection right. Sure, a gag gift is always a good option. And yeah, you can probably just find some random thing gathering dust … [+11173 chars]"
Google News,Game-like ‘task scams’ stole more than $220 million in six months - The Verge,,https://news.google.com/rss/articles/CBMigwFBVV95cUxPTGU2ZlJGYTg4dFFIX1BuV2xFNHVWUkdwWkE3YlJRRzF3cjhxX2ljVTd0N0Z2S2paT1NHNjVCSVYwOVdxbFU1QUZIZXV6VW5jTzNucjBreTZoUkdDbjVwNmdTeU1iV3AzdlRaYzJYOHp1LXlOT2MzdHJGal9wOWhLekttWQ?oc=5,2024-12-13T16:44:01Z,
Barron's,Boeing Is Spending $1 Billion Speeding Up 787 Dreamliner Output - Barron's,,https://www.barrons.com/articles/boeing-stock-price-787-dreamliner-4407aeab,2024-12-13T16:19:00Z,
Google News,"Fed to cut rates next week, bringing an end to first phase of easing - MarketWatch",,https://news.google.com/rss/articles/CBMirwFBVV95cUxNMmdUUFJOSXRnZE1rYXBEUGhWUFZmTmZBVVFLcG5GdUZxU05fMlBVS3ZpeElxSUxCaTNDUEZBQm84QmpONVRrMktzdy1lTUlUZGZjYW1JcmdVSU1JS3Y2Y0RIWVlTYnVrOXpVQzVCUEo4ZWNTVzVBV1ZkWnJtRUc4NkRxU3FRd2VWTmRBNGlQR0NhM0EwTzNSbi1DNU9yRG5QTm5SX1NfcjZoYnpkamQ00gG0AUFVX3lxTE5ESDNGSHNqdUV1VHNUWUNaTlRGSnJPcy1Wb0VZdWU0LVVvQmt4RGFXVE9XMGVPbWhpSURFdXhaMWpZajd2bEpuMmZ6RE9RNkFHcG5jQnZUR2wzeTlnZzM3cl9HMHBrSWJNWXNVNjNiSG1fUGNZM25iUEtMcUwtYXpaV0w3cXNPUGtEeldUZHUzeXZwUFNTQ3ZGMU4teDlwMGRPRUVwc0RqOWNDRjVCdWZtOFgtbQ?oc=5,2024-12-13T16:16:00Z,
Google News,Brian Thompson's boss speaks out after killing: U.S. health system needs fixing - Axios,,https://news.google.com/rss/articles/CBMilwFBVV95cUxQRVhsNU11dDBYM0lDQ0h6SWlSTzRkRjYyQlFVS241cUtUN1ZyM1FHMjZpOVk3bWdrNVVNRmFlMlVscHFLZkJJQzdkWTFNWDdIZkU1Q1J2THo5Q2g3TUdncFNUMkpOOFBRWU9vNnJfcTQyMFRpUlI1eHphS3FUWVl0azJaaGNuZGg0UEVNR2ZiUmk3c3plTTFz?oc=5,2024-12-13T15:56:20Z,
Notateslaapp.com,"Is Tesla Close to Licensing FSD? GM Quits Cruise, BMW Praises Tesla - Not a Tesla App","GM kills Cruise and their autonomous vehicle ambitions, says Tesla's approach is the correct way towards full autonomy.",https://www.notateslaapp.com/news/2436/is-tesla-close-to-licensing-fsd-gm-quits-cruise-bmw-praises-tesla,2024-12-13T15:54:00Z,"December 13, 2024 
In a relatively surprising move, GM announced that it is realigning its autonomy strategy and prioritizing advanced driver assistance systems (ADAS) over fully autonomous vehicles… [+13925 chars]"
Investor's Business Daily,"Stock Market Today: Nasdaq Hits Fresh Record As Broadcom Surges, Tops $1 Trillion Market Cap (Live Coverage) - Investor's Business Daily",Stocks pared early gains in the stock market today and breadth turned negative by more than 2-to-1 on both exchanges.,https://www.investors.com/market-trend/stock-market-today/nasdaq-dow-jones-sp500-broadcom-stock-nvidia-stock/,2024-12-13T15:23:00Z,"Early gains faded in the stock market today, but Broadcom (AVGO) held a strong gain as investors cheered its fiscal fourth-quarter earnings report.
The Nasdaq composite outperformed with an early ga… [+4725 chars]"
Google News,"Broadcom stock jumps 21%, pushing company past $1 trillion market cap for the first time - CNBC",,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOMGdrZlFUOEFCMTZZWGM4aFlURjBjMGRWTVJpX3pPeE9ReUQ4TVJpU2JaMEpzU3VCU28yeUZBbzVpcUh0Mi0zUHM2b0xwcTBmS1lGMS1uWEZwTVNKemZiOUFtZkNZeGoxaEZONkJhYm94eVpHU1hvRDhBMHk5OGtCQXBBU3dzb2dKM1V4emRyTVE0LWRMckpnZV9aSmlZa3FQSnFoX1FkOVdoY2tGZE04V3g0SFFEd0xfa0dGTk1Qd0VNUFBHWG5aUtIBzgFBVV95cUxNcllNU0VNeV9aMzY5SnNVY2VyZUo2VC1mcnlDb0RhS0NVVkpicjY1NXJiV2w5b01scThuQVA0NUJqZU5BWmI4dTJLaE1VQXR2M0k2UVFXNk9iTGdWZEcyZFV0UTR4QXNaWkFJdTVNa3lLMDA1bzRaR3d5NElRUVFYLU1BV051X1FzdkR2Wk4yajBaNXZIU21EcFRTZXZwVU1mOFB6d0gtRXdUVGxGX1ZLZ0RXdVZyQkliMjU1Y2NZYXdELWNQWGl6SVBtRkJoQQ?oc=5,2024-12-13T15:00:30Z,
New York Post,Trump aides mull abolishing FDIC as part of dramatic banking deregulation spree: report - New York Post ,"The Trump transition team has been busy examining ways to consolidate, shrink or even outright eliminate banking regulators in Washington, DC.",https://nypost.com/2024/12/13/business/trump-aides-mull-abolishing-fdic-as-part-of-deregulation-spree/,2024-12-13T14:55:00Z,Advisers to President-elect Donald Trump have been openly raising the possibility of the incoming administration dissolving the Federal Deposit Insurance Corp. amid indications that a dramatic deregu… [+3188 chars]
